"","GO","AncestorGroup","AncestorGroupIndex","Color","Label"
"148","GO.0002024","adaptive thermogenesis,response to dietary excess,response to external stimulus",59,18,0
"149","GO.0002026","system process,regulation of multicellular organismal process,regulation of biological process,regulation of biological quality",4654,850,0
"150","GO.0002027","system process,regulation of multicellular organismal process,regulation of biological process,regulation of biological quality",4654,850,0
"151","GO.0002028","regulation of localization,establishment of localization,regulation of biological process",3804,756,0
"152","GO.0002031","cellular metabolic process,organic substance metabolic process,cell communication,signal transduction,vesicle-mediated transport,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,negative regulation of signaling,negative regulation of response to stimulus,negative regulation of biological process,regulation of response to stimulus,establishment of localization,regulation of biological process",1542,309,0
"153","GO.0002040","multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2471,472,0
"154","GO.0002042","movement of cell or subcellular component,localization of cell,multicellular organism development,tissue migration,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development,cell motility",2341,448,0
"155","GO.0002052","cell population proliferation,positive regulation of cellular process,cellular developmental process,regulation of cellular process,multicellular organism development,regulation of multicellular organismal process,positive regulation of multicellular organismal process,anatomical structure development,regulation of developmental process,positive regulation of developmental process,positive regulation of biological process,regulation of biological process",1313,231,0
"156","GO.0002053","cell population proliferation,positive regulation of cellular process,regulation of cellular process,positive regulation of biological process,regulation of biological process",1324,234,0
"157","GO.0002062","cellular developmental process,multicellular organism development,anatomical structure development",1405,264,0
"158","GO.0002063","cellular developmental process,multicellular organism development,anatomical structure development",1405,264,0
"159","GO.0002064","cellular developmental process,anatomical structure development",1371,252,0
"160","GO.0002076","cellular developmental process,ossification,anatomical structure development",1422,269,0
"161","GO.0002082","regulation of metabolic process,cellular metabolic process,ATP metabolic process,regulation of cellular process,regulation of biological process",3828,760,0
"162","GO.0002084","nitrogen compound metabolic process,catabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3077,566,0
"163","GO.0002087","system process,respiratory gaseous exchange by respiratory system,regulation of multicellular organismal process,regulation of biological process",4675,852,0
"164","GO.0002088","multicellular organism development,anatomical structure development",2451,469,0
"165","GO.0002089","multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464,471,0
"166","GO.0002091","negative regulation of metabolic process,regulation of metabolic process,cellular metabolic process,organic substance metabolic process,vesicle-mediated transport,negative regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,negative regulation of transport,regulation of localization,negative regulation of biological process,establishment of localization,regulation of biological process",2783,523,0
"167","GO.0002092","positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,organic substance metabolic process,vesicle-mediated transport,positive regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,positive regulation of transport,regulation of localization,positive regulation of biological process,establishment of localization,regulation of biological process",3528,689,0
"168","GO.0002098","nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3181,592,0
"169","GO.0002115","establishment of localization",1683,348,0
"170","GO.0002181","nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",2860,539,0
"171","GO.0002218","activation of immune response,regulation of immune system process,positive regulation of immune system process,immune response,response to other organism,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,response to stress,response to external stimulus,response to biotic stimulus,regulation of biological process",56,17,0
"172","GO.0002223","activation of immune response,regulation of immune system process,positive regulation of immune system process,immune response,cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,response to other organism,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,response to stress,response to external stimulus,response to biotic stimulus,regulation of biological process",54,16,0
"173","GO.0002224","regulation of immune system process,immune response,cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,regulation of response to stimulus,regulation of biological process",3697,730,0
"174","GO.0002227","immune response,response to other organism,response to stress,response to external stimulus,response to biotic stimulus",1991,381,0
"175","GO.0002230","regulation of immune system process,immune response,response to other organism,regulation of response to stimulus,response to stress,response to external stimulus,response to biotic stimulus,regulation of biological process",3721,732,0
"176","GO.0002232","leukocyte migration,movement of cell or subcellular component,localization of cell,cellular response to stimulus,taxis,cell motility,response to stress,response to external stimulus,response to chemical",2097,409,0
"177","GO.0002244","immune system development,cellular developmental process,multicellular organism development,anatomical structure development",2002,386,0
"178","GO.0002262","regulation of biological quality",3607,707,0
"179","GO.0002281","immune effector process,immune response,leukocyte activation,cell activation",1801,366,0
"180","GO.0002286","immune effector process,immune response,leukocyte activation,cell activation",1801,366,0
"181","GO.0002323","immune effector process,immune response,leukocyte activation,cell activation",1801,366,0
"182","GO.0002357","response to stress,response to biotic stimulus",4238,807,0
"183","GO.0002376","907",907,907,0
"184","GO.0002377","production of molecular mediator of immune response,organic substance metabolic process",3593,703,0
"185","GO.0002381","immune effector process,production of molecular mediator of immune response,immune response,organic substance metabolic process",1831,368,0
"186","GO.0002407","leukocyte migration,movement of cell or subcellular component,localization of cell,cellular response to stimulus,taxis,cell motility,response to external stimulus,response to chemical",2096,408,0
"187","GO.0002430","activation of immune response,regulation of immune system process,positive regulation of immune system process,immune response,cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,regulation of biological process",52,15,0
"188","GO.0002437","immune response,response to stress",1994,383,0
"189","GO.0002456","immune effector process,immune response",1792,364,0
"190","GO.0002503","antigen processing and presentation,cellular component organization or biogenesis",115,26,0
"191","GO.0002523","leukocyte migration,movement of cell or subcellular component,localization of cell,cell motility,response to stress",2095,407,0
"192","GO.0002526","response to stress",4232,805,0
"193","GO.0002548","leukocyte migration,movement of cell or subcellular component,localization of cell,cellular response to stimulus,taxis,cell motility,response to external stimulus,response to chemical",2096,408,0
"194","GO.0002639","immune effector process,production of molecular mediator of immune response,regulation of immune system process,positive regulation of immune system process,positive regulation of metabolic process,regulation of metabolic process,organic substance metabolic process,positive regulation of biological process,regulation of biological process",1867,371,0
"195","GO.0002675","positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,response to stress,response to external stimulus,regulation of biological process",3569,698,0
"196","GO.0002682","regulation of biological process",3605,706,0
"197","GO.0002687","regulation of immune system process,positive regulation of immune system process,leukocyte migration,movement of cell or subcellular component,positive regulation of cellular process,regulation of cellular process,localization of cell,regulation of locomotion,positive regulation of locomotion,cell motility,regulation of localization,positive regulation of biological process,regulation of biological process",3801,754,0
"198","GO.0002690","regulation of immune system process,positive regulation of immune system process,leukocyte migration,movement of cell or subcellular component,positive regulation of cellular process,regulation of cellular process,localization of cell,cellular response to stimulus,regulation of locomotion,positive regulation of locomotion,taxis,cell motility,positive regulation of response to stimulus,regulation of localization,positive regulation of biological process,regulation of response to stimulus,response to external stimulus,response to chemical,regulation of biological process",3800,753,0
"199","GO.0002720","immune effector process,production of molecular mediator of immune response,regulation of immune system process,positive regulation of immune system process,immune response,positive regulation of metabolic process,regulation of metabolic process,organic substance metabolic process,cytokine production,regulation of multicellular organismal process,positive regulation of multicellular organismal process,positive regulation of biological process,regulation of biological process",1858,369,0
"200","GO.0002726","immune effector process,production of molecular mediator of immune response,regulation of immune system process,positive regulation of immune system process,immune response,positive regulation of metabolic process,regulation of metabolic process,organic substance metabolic process,cytokine production,regulation of multicellular organismal process,positive regulation of multicellular organismal process,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,regulation of biological process",1859,370,0
"201","GO.0002755","regulation of immune system process,immune response,cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,regulation of response to stimulus,regulation of biological process",3697,730,0
"202","GO.0002819","regulation of immune system process,immune response,regulation of response to stimulus,regulation of biological process",3717,731,0
"203","GO.0002827","regulation of immune system process,positive regulation of immune system process,immune response,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,regulation of biological process",3786,746,0
"204","GO.0002862","regulation of immune system process,negative regulation of immune system process,immune response,negative regulation of response to stimulus,negative regulation of biological process,regulation of response to stimulus,response to stress,response to external stimulus,regulation of biological process",3753,739,0
"205","GO.0002931","response to stress",4232,805,0
"206","GO.0003007","multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464,471,0
"207","GO.0003009","system process,multicellular organismal movement",4613,840,0
"208","GO.0003016","system process,respiratory gaseous exchange by respiratory system",4672,851,0
"209","GO.0003073","system process,regulation of biological quality",4622,842,0
"210","GO.0003084","system process,regulation of biological quality",4622,842,0
"211","GO.0003085","system process,regulation of biological quality",4622,842,0
"212","GO.0003091","system process,multicellular organismal homeostasis,regulation of biological quality",4609,839,0
"213","GO.0003094","system process",4578,834,0
"214","GO.0003139","multicellular organism development,pattern specification process,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2530,481,0
"215","GO.0003148","multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464,471,0
"216","GO.0003151","multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464,471,0
"217","GO.0003161","multicellular organism development,anatomical structure development",2451,469,0
"218","GO.0003180","multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464,471,0
"219","GO.0003181","multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464,471,0
"220","GO.0003184","multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464,471,0
"221","GO.0003198","cellular developmental process,multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",1408,266,0
"222","GO.0003203","multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464,471,0
"223","GO.0003214","multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464,471,0
"224","GO.0003215","multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464,471,0
"225","GO.0003222","multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464,471,0
"226","GO.0003272","multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2471,472,0
"227","GO.0003281","multicellular organism development,anatomical structure development",2451,469,0
"228","GO.0003300","system process",4578,834,0
"229","GO.0003323","cellular developmental process,multicellular organism development,anatomical structure development",1405,264,0
"230","GO.0003333","transmembrane transport,establishment of localization",4725,863,0
"231","GO.0003334","cellular developmental process,multicellular organism development,anatomical structure development",1405,264,0
"232","GO.0003341","movement of cell or subcellular component,microtubule-based process",2343,450,0
"233","GO.0003351","movement of cell or subcellular component,microtubule-based process,establishment of localization",2353,453,0
