,prediction,Age
7786923044_R06C01,63.20933480148669,64.6
7786915005_R01C01,36.18906739574113,35.2
7471147090_R06C01,38.79503854962354,35.1
7471147125_R03C01,57.62414906027572,57.199999999999996
7471147103_R06C02,61.917770815229154,58.39999999999999
7786915090_R01C01,48.474595259920704,47.2
GSM2334591,13.74661032094892,15.0
GSM2334311,71.31116731149208,76.0
7471147146_R02C02,49.3274555802725,47.0
7471147059_R03C02,49.198288206254276,54.5
7786915112_R02C02,51.473109689534084,53.00000000000001
7471147074_R04C02,56.47881568922011,56.6
7507875141_R04C02,46.601283685138895,45.10000000000001
7786923011_R02C01,36.51590399464888,35.2
GSM2334484,11.64810494958882,16.0
GSM2334424,50.723253134635684,51.0
7786915120_R03C02,55.84835097213218,54.70000000000001
GSM2334574,89.20514202057625,91.00000000000001
7786923044_R04C01,58.69873649484601,57.8
7786923044_R02C01,57.05533749309716,53.00000000000001
7471147118_R05C01,49.70006137413287,48.0
7786915062_R03C01,51.07396825659049,52.7
7507875142_R02C02,53.08599381939645,53.800000000000004
7471147140_R04C01,45.872438031979215,42.60000000000001
GSM2333923,23.21496998312325,22.000000000000004
GSM2334415,49.060966786312804,52.0
7507875130_R03C02,43.10809981396058,38.9
7786915052_R06C01,62.5608185046161,63.50000000000001
GSM2333955,48.79987009342477,45.0
7471147118_R02C01,43.72706375176173,41.1
GSM2334520,82.24603952822963,81.0
7786923008_R03C02,41.77799272880925,41.2
GSM2334503,78.25921277199896,80.0
7786915048_R03C02,43.639968370655254,42.7
7786915148_R01C01,44.03701898239419,44.89999999999999
7786915156_R02C01,51.29004809779554,51.6
7471147140_R03C02,47.306754068318995,48.0
7786915049_R04C01,67.9423470237991,69.9
7471147098_R06C01,53.16889240294821,56.0
7471147067_R04C01,46.17650136889718,52.5
7786915117_R01C01,44.48681345362084,46.9
7471147061_R06C01,44.46186548591662,43.6
7786915052_R02C01,62.000631770121544,59.1
7471147117_R03C02,54.07398491779771,54.5
7786915046_R04C01,66.28549751984312,65.20000000000002
7471147067_R05C01,68.77377457363383,73.3
7786915009_R01C01,48.09906014069618,51.6
7786923030_R02C01,64.51330186952333,66.6
7786915148_R02C01,45.104382545305555,41.599999999999994
7507875047_R04C01,41.47371400875363,42.0
GSM2334581,79.87493218342408,82.0
7786915004_R04C01,60.61028764129197,64.4
7796806129_R01C02,39.93407148554,36.8
7786915099_R05C01,44.09191985388587,45.8
GSM2334450,23.628959468334504,23.0
7786915141_R04C01,48.754262397936365,50.6
7507875153_R05C01,49.329188168483896,46.599999999999994
GSM2334127,54.88205125338994,57.0
7786915063_R05C01,51.3991058837217,50.5
7471147127_R04C01,59.64566418347197,53.9
7786923042_R02C01,38.679931853800625,42.5
7471147148_R01C01,36.07240522225544,37.6
GSM2334212,12.96471182257287,16.0
7786915152_R02C02,45.36844861637614,47.60000000000001
GSM2334152,13.625783199458619,15.0
GSM2334465,18.052067208852133,19.0
7471147030_R06C02,42.75610495341405,37.6
7786915101_R02C01,28.375620704190673,36.5
7471147148_R06C01,44.67862130546979,40.5
GSM2334154,46.37749983681948,43.0
7471147140_R02C02,44.619788573593425,50.0
GSM2334490,12.543637370868202,16.0
7786923067_R05C01,50.39269720536598,48.5
GSM2334473,43.940595002107095,46.0
7471147040_R06C01,65.9119442179734,61.2
7471147081_R05C02,52.79254798636376,52.89999999999999
7786915014_R06C01,66.15669763042504,67.0
7786915084_R02C01,39.604077239252405,39.3
GSM2334457,69.40851064723662,71.0
7786915083_R03C01,49.693174668953674,49.599999999999994
7471147087_R03C02,47.84078107536403,46.0
7507875155_R01C01,36.081469015238575,37.1
7507875150_R01C01,55.460776383222274,56.8
GSM2334512,52.296623673591554,50.0
7512551046_R01C02,61.833552764108205,47.89999999999999
GSM2334006,68.6162551367895,70.0
7786923013_R02C01,58.75067603806039,59.0
7471147002_R04C02,66.65290413584884,66.5
7471147092_R02C01,61.19974198260518,56.9
7507875062_R04C01,35.91377269728274,37.4
7512560094_R01C02,63.87922929726742,69.8
7786915005_R01C02,51.85336212704502,51.3
7471147027_R06C01,37.83407486442994,35.1
7471147047_R05C02,47.85229664662298,45.2
7471147141_R05C01,53.847268669878495,52.7
7471147088_R06C01,53.656918908462025,52.3
